NEIGHBORHOOD,POPULATION PER SQMI,SINGLE PARENTS,ASIAN POPULATION,LATINO POPULATION,WHITE POPULATION,CRIME PER CAPITA,CRIME TOTAL,DIVERSITY INDEX,MEDIAN INCOME,HOMEOWNERS,BLACK POPULATION
Acton,166.0,0.09,0.02,0.12,0.82,0.0,0.0,0.316,83983.0,0.88,0.01
Adams-Normandie,21848.0,0.24,0.05,0.62,0.06,30.3,56.0,0.545,29606.0,0.21,0.25
Adams-Normandie,21848.0,0.24,0.05,0.62,0.06,29606.0,,0.545,29606.0,0.21,0.25
Agoura Hills,2495.0,0.1,0.06,0.07,0.83,0.0,0.0,0.304,117608.0,0.84,0.01
Agua Dulce,99.0,0.05,0.0,0.11,0.84,0.0,0.0,0.282,106078.0,0.87,0.0
Alhambra,11275.0,0.13,0.47,0.36,0.14,,,0.631,53224.0,0.39,0.01
Alondra Park,7548.0,0.2,0.15,0.35,0.26,13.9,12.0,0.748,57177.0,0.52,0.19
Altadena,4900.0,0.13,0.04,0.2,0.4,2.6,11.0,0.7020000000000001,82676.0,0.75,0.31
Angeles Crest,3.0,0.07,0.02,0.12,0.72,,,0.452,72841.0,0.88,0.1
Arcadia,4749.0,0.1,0.45,0.1,0.4,,,0.62,75808.0,0.62,0.01
Arleta,10034.0,0.12,0.11,0.72,0.13,14.4,47.0,0.455,65649.0,0.8,0.02
Arlington Heights,21423.0,0.24,0.13,0.57,0.05,28.7,67.0,0.6,31421.0,0.18,0.25
Arlington Heights,21423.0,0.24,0.13,0.57,0.05,31421.0,,0.6,31421.0,0.18,0.25
Artesia,10036.0,0.1,0.28,0.38,0.26,6.7,11.0,0.706,60538.0,0.57,0.03
Athens,6829.0,0.25,0.03,0.4,0.01,53.8,49.0,0.547,48824.0,0.56,0.54
Atwater Village,8379.0,0.14,0.2,0.51,0.22,5.2,8.0,0.645,53872.0,0.4,0.01
Avalon,1159.0,0.2,0.02,0.46,0.5,0.0,0.0,0.5429999999999999,53200.0,0.27,0.0
Avocado Heights,5907.0,0.12,0.09,0.79,0.11,2.9,5.0,0.36200000000000004,64544.0,0.72,0.01
Azusa,4496.0,0.18,0.06,0.65,0.24,,,0.521,53299.0,0.5,0.03
Baldwin Hills/Crenshaw,10446.0,0.32,0.05,0.17,0.03,41.1,132.0,0.457,37948.0,0.31,0.71
Baldwin Hills/Crenshaw,10446.0,0.32,0.05,0.17,0.03,37948.0,,0.457,37948.0,0.31,0.71
Baldwin Park,11176.0,0.16,0.12,0.79,0.07,,,0.36,56585.0,0.61,0.01
Bel-Air,1207.0,0.04,0.08,0.05,0.83,3.6,3.0,0.301,207938.0,0.86,0.01
Bell,14357.0,0.2,0.01,0.91,0.06,40556.0,,0.17300000000000001,40556.0,0.31,0.01
Bellflower,11756.0,0.2,0.1,0.43,0.31,6.9,50.0,0.6940000000000001,53325.0,0.4,0.12
