RANK,NEIGHBORHOOD,ASIAN POPULATION
1,Chinatown,0.71
2,Monterey Park,0.61
3,Cerritos,0.58
4,Walnut,0.56
5,Rowland Heights,0.52
6,San Gabriel,0.49
7,Rosemead,0.49
8,Alhambra,0.47
9,San Marino,0.47
10,Arcadia,0.45
11,Elysian Park,0.43
12,Diamond Bar,0.43
13,Windsor Square,0.42
14,South San Gabriel,0.41
15,East San Gabriel,0.41
16,Temple City,0.39
17,Hacienda Heights,0.36
18,Ramona,0.35
19,Koreatown,0.32
20,Larchmont,0.30
21,Torrance,0.29
22,Artesia,0.28
23,Gardena,0.27
24,Porter Ranch,0.27
25,North El Monte,0.26
26,West Carson,0.26
27,South Pasadena,0.26
28,Elysian Valley,0.26
29,Rancho Palos Verdes,0.25
30,Lincoln Heights,0.25
31,Carson,0.24
32,Eagle Rock,0.24
33,Westwood,0.23
34,West Covina,0.23
35,Downtown,0.21
36,Playa Vista,0.21
37,Palms,0.20
38,Sawtelle,0.20
39,Mid-Wilshire,0.20
40,La Crescenta-Montrose,0.20
41,Atwater Village,0.20
42,East Pasadena,0.20
43,Rolling Hills Estates,0.20
44,La Cañada Flintridge,0.20
45,La Habra Heights,0.19
46,Signal Hill,0.19
47,Echo Park,0.19
48,Unincorporated Santa Susana Mountains,0.19
49,Bradbury,0.19
50,El Monte,0.19
51,Rancho Park,0.18
52,Silver Lake,0.18
53,San Pasqual,0.18
54,Glassell Park,0.17
55,Palos Verdes Estates,0.17
56,Montecito Heights,0.17
57,Westlake,0.17
58,Glendale,0.16
59,Granada Hills,0.16
60,University Park,0.16
61,Harbor Gateway,0.16
62,North Whittier,0.16
63,East Hollywood,0.16
64,Winnetka,0.16
65,West San Dimas,0.16
66,La Mirada,0.15
67,Alondra Park,0.15
68,Northridge,0.15
69,Chatsworth,0.14
70,Rolling Hills,0.14
71,Harbor City,0.14
72,Del Rey,0.14
73,Lakewood,0.14
74,Stevenson Ranch,0.14
75,Los Feliz,0.14
76,Harvard Heights,0.13
77,Hancock Park,0.13
78,Arlington Heights,0.13
79,Long Beach,0.13
80,Mar Vista,0.13
81,Mount Washington,0.13
82,Duarte,0.13
83,Valinda,0.13
84,Culver City,0.12
85,North Hills,0.12
86,Panorama City,0.12
87,Baldwin Park,0.12
88,Lomita,0.12
89,Claremont,0.12
90,Norwalk,0.12
91,West Los Angeles,0.11
92,Montebello,0.11
93,El Sereno,0.11
94,West Hills,0.11
95,Reseda,0.11
96,Highland Park,0.11
97,Cypress Park,0.11
98,Canoga Park,0.11
99,Arleta,0.11
100,Mission Hills,0.11
101,Lawndale,0.11
102,Mayflower Village,0.10
103,Bellflower,0.10
104,Pasadena,0.10
105,Covina,0.10
106,Charter Oak,0.10
107,Westchester,0.10
108,Redondo Beach,0.10
109,Burbank,0.09
110,Cheviot Hills,0.09
111,San Dimas,0.09
112,Industry,0.09
113,Hawaiian Gardens,0.09
114,Del Aire,0.09
115,Lake Balboa,0.09
116,West Puente Valley,0.09
117,Vincent,0.09
118,Century City,0.09
119,Avocado Heights,0.09
120,Carthay,0.09
121,Bel-Air,0.08
122,Calabasas,0.08
123,Marina del Rey,0.08
124,Sun Valley,0.08
125,Playa del Rey,0.08
126,South El Monte,0.08
127,Rancho Dominguez,0.08
128,Pico-Union,0.08
129,Beverly Hills,0.08
130,Hawthorne,0.08
131,Downey,0.07
132,La Verne,0.07
133,Beverlywood,0.07
134,La Puente,0.07
135,Pomona,0.07
136,Sunland,0.07
137,Santa Monica,0.07
138,Hollywood,0.07
139,Woodland Hills,0.07
140,Shadow Hills,0.07
141,Monrovia,0.07
142,Desert View Highlands,0.07
143,Hollywood Hills,0.07
144,El Segundo,0.07
145,Tujunga,0.07
146,Glendora,0.07
147,Brentwood,0.07
148,Citrus,0.07
149,Van Nuys,0.06
150,Westlake Village,0.06
151,Manhattan Beach,0.06
152,Agoura Hills,0.06
153,South San Jose Hills,0.06
154,Unincorporated Santa Monica Mountains,0.06
155,Pico-Robertson,0.06
156,Sherman Oaks,0.06
157,North Hollywood,0.06
158,Azusa,0.06
159,Castaic,0.06
160,Pacific Palisades,0.06
161,Leona Valley,0.06
162,Studio City,0.05
163,Valley Glen,0.05
164,Lake View Terrace,0.05
165,Adams-Normandie,0.05
166,Sierra Madre,0.05
167,Ridge Route,0.05
168,Santa Clarita,0.05
169,Beverly Grove,0.05
170,Tarzana,0.05
171,Toluca Lake,0.05
172,Encino,0.05
173,Hermosa Beach,0.05
174,San Pedro,0.05
175,Baldwin Hills/Crenshaw,0.05
176,Leimert Park,0.05
177,Fairfax,0.05
178,Valley Village,0.04
179,Paramount,0.04
180,Altadena,0.04
181,Venice,0.04
182,Beverly Crest,0.04
183,West Hollywood,0.04
184,Palmdale,0.04
185,Hollywood Hills West,0.04
186,Lancaster,0.04
187,Castaic Canyons,0.04
188,Mid-City,0.04
189,Whittier,0.04
190,East La Mirada,0.04
191,Hasley Canyon,0.04
192,Topanga,0.04
193,Santa Fe Springs,0.04
194,Northwest Palmdale,0.04
195,Sylmar,0.03
196,Green Valley,0.03
197,Ladera Heights,0.03
198,South Whittier,0.03
199,Jefferson Park,0.03
200,Athens,0.03
201,Wilmington,0.03
202,Hidden Hills,0.03
203,Northwest Antelope Valley,0.03
204,Pico Rivera,0.03
205,Lopez/Kagel Canyons,0.02
206,Angeles Crest,0.02
207,Boyle Heights,0.02
208,Tujunga Canyons,0.02
209,Quartz Hill,0.02
210,West Compton,0.02
211,Lake Los Angeles,0.02
212,Southeast Antelope Valley,0.02
213,Pacoima,0.02
214,Northeast Antelope Valley,0.02
215,West Adams,0.02
216,Exposition Park,0.02
217,Acton,0.02
218,Malibu,0.02
219,Avalon,0.02
220,View Park-Windsor Hills,0.02
221,Compton,0.01
222,Irwindale,0.01
223,Val Verde,0.01
224,Bell,0.01
225,Lennox,0.01
226,Vermont Knolls,0.01
227,Lynwood,0.01
228,Hyde Park,0.01
229,Inglewood,0.01
230,Vermont Square,0.01
231,Commerce,0.01
232,East Compton,0.01
233,Lake Hughes,0.01
234,Historic South-Central,0.01
235,East Los Angeles,0.01
236,West Whittier-Los Nietos,0.01
237,Elizabeth Lake,0.01
238,South Gate,0.01
239,Sun Village,0.01
240,Littlerock,0.01
241,Vermont Vista,0.01
242,Chesterfield Square,0.01
243,Unincorporated Catalina Island,0.01
244,Huntington Park,0.01
245,Cudahy,0.01
246,Central-Alameda,0.01
247,Westmont,0.01
248,Willowbrook,0.01
249,Harvard Park,0.01
250,Walnut Park,0.01
