RANK,NEIGHBORHOOD,HOMEOWNERS
1,Hidden Hills,0.97
2,La Habra Heights,0.94
3,Porter Ranch,0.92
4,San Marino,0.92
5,Rolling Hills Estates,0.91
6,Rolling Hills,0.91
7,Palos Verdes Estates,0.91
8,Leona Valley,0.90
9,Hasley Canyon,0.90
10,Beverly Crest,0.90
11,La Cañada Flintridge,0.90
12,Walnut,0.89
13,Angeles Crest,0.88
14,Northwest Palmdale,0.88
15,Acton,0.88
16,Castaic,0.88
17,West Hills,0.87
18,Agua Dulce,0.87
19,West San Dimas,0.87
20,Westlake Village,0.87
21,Tujunga Canyons,0.87
22,Rancho Dominguez,0.87
23,Green Valley,0.86
24,Castaic Canyons,0.86
25,Bel-Air,0.86
26,North Whittier,0.85
27,Bradbury,0.84
28,Agoura Hills,0.84
29,Stevenson Ranch,0.84
30,Cerritos,0.83
31,Diamond Bar,0.83
32,Pacific Palisades,0.83
33,Southeast Antelope Valley,0.82
34,La Mirada,0.82
35,Rancho Palos Verdes,0.82
36,Northwest Antelope Valley,0.81
37,Desert View Highlands,0.81
38,Arleta,0.80
39,Calabasas,0.80
40,Hacienda Heights,0.80
41,Ridge Route,0.79
42,South San Jose Hills,0.79
43,Littlerock,0.79
44,Mission Hills,0.78
45,La Verne,0.78
46,Carson,0.78
47,Lake Los Angeles,0.78
48,Shadow Hills,0.78
49,Sun Village,0.78
50,Valinda,0.78
51,Quartz Hill,0.78
52,Elizabeth Lake,0.77
53,Lake Hughes,0.77
54,West Puente Valley,0.77
55,Ladera Heights,0.77
56,Topanga,0.76
57,Mayflower Village,0.76
58,View Park-Windsor Hills,0.76
59,Unincorporated Santa Monica Mountains,0.75
60,West Carson,0.75
61,Lake View Terrace,0.75
62,Altadena,0.75
63,Ramona,0.74
64,Lopez/Kagel Canyons,0.74
65,Northeast Antelope Valley,0.74
66,Granada Hills,0.74
67,San Dimas,0.74
68,Glendora,0.74
69,Santa Clarita,0.73
70,Val Verde,0.73
71,Avocado Heights,0.72
72,Lakewood,0.72
73,Malibu,0.72
74,East Pasadena,0.71
75,Chatsworth,0.71
