RANK,NEIGHBORHOOD,WHITE POPULATION
1,Malibu,0.89
2,Hidden Hills,0.89
3,Pacific Palisades,0.89
4,Topanga,0.88
5,Beverly Crest,0.88
6,Westlake Village,0.86
7,Manhattan Beach,0.86
8,Hollywood Hills West,0.85
9,Hermosa Beach,0.85
10,Fairfax,0.85
11,Brentwood,0.84
12,Agua Dulce,0.84
13,Calabasas,0.83
14,Bel-Air,0.83
15,Agoura Hills,0.83
16,Unincorporated Santa Monica Mountains,0.83
17,Century City,0.83
18,Beverly Grove,0.82
19,Beverly Hills,0.82
20,Acton,0.82
21,West Hollywood,0.81
22,Encino,0.80
23,Beverlywood,0.80
24,Leona Valley,0.80
25,Sierra Madre,0.80
26,Cheviot Hills,0.79
27,Woodland Hills,0.78
28,Marina del Rey,0.78
29,Studio City,0.78
30,Northwest Antelope Valley,0.78
31,El Segundo,0.78
32,Tujunga Canyons,0.77
33,West Los Angeles,0.77
34,Lake Hughes,0.76
35,Elizabeth Lake,0.76
36,Rolling Hills,0.76
37,Southeast Antelope Valley,0.76
38,Palos Verdes Estates,0.76
39,Green Valley,0.75
40,Northwest Palmdale,0.75
41,Hollywood Hills,0.74
42,Sherman Oaks,0.74
43,Quartz Hill,0.74
44,Pico-Robertson,0.74
45,Castaic Canyons,0.74
46,Playa del Rey,0.73
47,Angeles Crest,0.72
48,Toluca Lake,0.72
49,Santa Monica,0.71
50,West Hills,0.71
51,La Cañada Flintridge,0.71
52,Tarzana,0.71
53,Hancock Park,0.71
54,Redondo Beach,0.70
55,Ridge Route,0.70
56,Rolling Hills Estates,0.70
57,Santa Clarita,0.69
58,Glendora,0.67
59,Valley Village,0.67
60,Bradbury,0.66
61,La Crescenta-Montrose,0.66
62,Chatsworth,0.66
63,Stevenson Ranch,0.65
64,Sunland,0.65
65,Claremont,0.64
66,Venice,0.64
67,La Verne,0.64
68,La Habra Heights,0.64
69,Westwood,0.63
70,Rancho Palos Verdes,0.63
71,Northeast Antelope Valley,0.62
72,Lopez/Kagel Canyons,0.62
73,Unincorporated Catalina Island,0.61
74,Hasley Canyon,0.61
75,Porter Ranch,0.61
76,San Dimas,0.61
77,Tujunga,0.61
78,West San Dimas,0.60
79,Shadow Hills,0.59
80,Burbank,0.59
81,Rancho Park,0.58
82,Carthay,0.58
83,San Pasqual,0.58
